"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"109","Platycodon grandiflorus",15.7120680130128,5.52877456355133,22.0359696386583,13.6434996486721,5,9.583333333,15.50833333,11.8184210522632,19
"110","Podophyllum peltatum",-3.31704771456188,-16.976551945207,0.183253667970328,22.5512095492001,5,3.583333333,12.79166667,10.4117424240455,22
"111","Polygonatum multiflorum",-3.05149509671881,-23.008410445895,8.1114543818313,67.5774317999577,6,5.541666667,12.79166667,10.6564393940909,22
"112","Primula acaulis",-0.157010157275894,-13.7905270493911,17.1258021117763,59.5085959719341,6,10.23333333,15.50833333,11.7294117641176,17
"113","Primula denticulata",0.483255463014874,-11.6734978592734,10.3276681501839,40.1778062052282,11,3.583333333,12.79166667,10.0833333331282,39
"114","Primula veris",7.83394812153303,-4.42956812304919,16.8240973969771,34.2423489886329,8,4.691666667,12.79166667,10.3172839503704,27
"115","Prunella grandiflora",11.7850155844069,-6.34184054198575,33.3778411530438,98.7037396090805,6,8.641666667,12.79166667,11.0219696965,22
"116","Prunella vulgaris",-8.39802553117712,-42.137164433955,30.8565101066706,349.598290024552,4,9.85,11.91666667,11.027500001,10
"117","Pulsatilla vulgaris",7.01707562676617,-15.7686424343949,24.8308737389926,103.449692345496,8,4.691666667,12.79166667,10.904722222,30
"118","Ranunculus acris",6.55860405650095,-39.6192629304023,45.1472525259172,481.884386789213,5,9.583333333,12.175,10.8761363634545,22
"119","Ranunculus lanuginosus",2.11323188677356,-16.9559470554766,19.9246277021619,86.7454410048945,3,9.875,12.175,10.95486111025,12
"120","Rheum palmatum",5.60467881528616,-12.9493978354659,13.151280783608,39.7136667132509,6,4.691666667,12.175,10.0560185183333,18
"121","Rumex acetosa",8.93688841438124,3.12794022179278,15.2176324035722,9.89770974126847,3,3.583333333,10.675,7.6583333329,10
"122","Salvia nemorosa",-7.37563398291925,-23.6193992148046,4.44645765922063,56.3799751642379,6,4.858333333,16.24166667,11.31066666612,25
"123","Salvia officinalis",-14.5357401243967,-55.6459687463535,1.98982489202701,183.199200494963,9,4.691666667,16.24166667,10.9986666664,25
"124","Saponaria officinalis",4.47877330407817,-4.2639377771833,13.6902806619914,17.0315549295175,8,4.833333333,15.38333333,10.7259615375385,26
"125","Saxifraga paniculata",4.31844088588606,-32.5975445281956,34.2454213279321,273.537790336309,5,8.641666667,11.76666667,10.6649999993333,15
"126","Scilla siberica",1.42481116128126,-2.47159574836155,17.2614433013579,24.4312335978533,4,4.833333333,12.79166667,10.6431818181818,11
"127","Scopolia carniolica",1.93096535415022,-4.717281241569,9.4469098720796,11.1300346241577,7,4.858333333,12.175,10.619444444,24
"128","Securigera varia",2.11185265913733,-35.387643418627,36.8165166225256,345.530611672924,7,9.583333333,12.175,10.9242424239091,22
"129","Senecio nemorensis",-33.2016388092139,-53.4110777449596,-18.4617196944278,82.9840310560992,3,9.85,12.175,10.9886363627273,11
"130","Silene coronaria",-16.6083898943643,-46.177220537007,15.0931133563347,251.564475511578,7,9.583333333,12.79166667,11.2839285712857,28
"131","Silene dioica",8.43914577178998,6.02078597694333,10.4857624158123,1.89643038257378,5,4.691666667,16.24166667,10.4116666670667,15
"132","Silene vulgaris",3.69756607260275,-27.8952851012014,34.0600170101812,216.240097362266,6,8.641666667,11.91666667,10.8128472222083,24
